screenfetch 3.9.1-1
scrot 1.2-1
sdl 1.2.15-13
sdl2 2.0.10-1
sed 4.7-3
serf 1.3.9-3
sg3_utils 1.44-1
shadow 4.8-1
shared-mime-info 1.15-1
slang 2.3.2-1
smbclient 4.10.10-2
snapd 2.42.4-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
spectre-meltdown-checker 0.43-1
speedtest-cli 2.1.2-2
speex 1.2.0-2
speexdsp 1.2.0-1
splix 2.0.0-14
sqlite 3.30.1-2
squashfs-tools 4.4-1
srt 1.4.1-1
startup-notification 0.12-6
stoken 0.92-3
subversion 1.13.0-1
sudo 1.8.29-1
suitesparse 5.6.0-1
sysfsutils 2.1.0-11
syslog-ng 3.25.1-1
system-config-printer 1.5.12-2
systemd 242.153-2
systemd-fsck-silent 239-1
systemd-libs 242.153-2
systemd-sysvcompat 242.153-2
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tdb 1.3.18-4
terminus-font 4.48-1
tevent 1:0.9.39-4
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
tlp 1.2.2-1.1
tree 1.8.0-1
tslib 1.21-1
ttf-bitstream-vera 1.10-12
ttf-dejavu 2.37-2
ttf-droid 20121017-7.2
ttf-font-icons 1.1-3
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
ttf-liberation 2.00.5-2
twolame 0.4.0-2
tzdata 2019c-3
udisks2 2.8.4-1
ufw 0.36-3
upower 0.99.11-1
urxvt-perls 2.3-1
usbmuxd 1.1.0+66+g9af2b12-1
usbutils 012-2
util-linux 2.34-8
v4l-utils 1.18.0-1
v86d 0.1.10-5.1
vertex-maia-themes 20180519-4
vi 1:070224-4
vibrancy-icons-teal 2.7-1
vid.stab 1.1-2
viewnior 1.7-2
vim 8.1.2268-2
vim-runtime 8.1.2268-2
vlc 3.0.8-7
volume_key 0.3.12-2
volumeicon 0.5.1-4
vpnc 1:0.5.3.r462.r78-1
vte-common 0.58.3-1
vte3 0.58.3-1
vulkan-icd-loader 1.1.130-1
w3m 0.5.3.git20190105-1
wallpapers-juhraya 1.1-2
wavpack 5.1.0-2
wayland 1.17.0-1
wayland-protocols 1.18-1
webkit2gtk 2.26.2-2.1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
wildmidi 0.4.3-1
wireless-regdb 2019.06.03-2
wireless_tools 30.pre9-3
wmutils 1:1.4-1
woff2 1.0.2-1
wpa_supplicant 2:2.9-3
wpebackend-fdo 1.4.0-2
x264 3:0.157.r2980.34c06d1-2
x265 3.2.1-1
xarchiver 0.5.4.14-1
xautolock 2.2-5
xbitmaps 1.1.2-1
xcb-proto 1.13-4
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xcursor-breeze 5.11.5-1
xcursor-chameleon-pearl 0.5-4
xcursor-maia 20160417-1
xdg-dbus-proxy 0.1.2-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+18+g0547886-4
xdotool 3.20160805.1-2
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-1
xf86-input-void 1.4.1-4
xfburn 0.6.1-1
xfce4-power-manager 1.6.5-2
xfconf 4.14.1-1
xfsprogs 5.3.0-1
xkeyboard-config 2.28-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.5-1
xorg-fonts-misc 1.0.3-6
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.6-2
xorg-server-common 1.20.6-2
xorg-setxkbmap 1.3.2-1
xorg-twm 1.0.10-1
xorg-xauth 1.1-1
xorg-xdpyinfo 1.3.2-3
